student_id,semester_number,year,course_code,study_format,credits_unit,raw_score,current_semester_gpa,cumulative_gpa,previous_courses_taken,previous_credits_earned,weekly_study_hours,attendance_percentage,commute_time_minutes,family_support,attendance_float,study_hours_x_attendance,family_support_x_study_hours,attendance_x_support,mean_score_per_student,std_score_per_student,total_courses,num_failed_courses,gpa_change_rate,subject_type,expected_difficulty,expected_score_hint,avg_attendance_by_subject_type,fail_rate_general,fail_rate_major,attendance_gap_general_vs_major
28201102971,1,2024-2025,CMU-SE 252,LEC,3,6.7,44,87,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2024-2025,CMU-SE 303,LEC,3,6.3,44,87,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2024-2025,IS 301,LEC,3,6.9,44,87,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2024-2025,MTH 291,LEC,3,8.9,44,87,,,,,,,,,,,,,,,,,,,,,,
28201102971,1,2024-2025,PHI 150,LEC,3,7.9,44,87,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,CMU-CS 445,LEC,3,,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,CMU-CS 447,PRJ,1,7,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,CMU-CS 462,LEC,3,,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,CMU-ENG 230,LEC,2,8.7,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,CS 464,LEC,2,8.4,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,CS 464,LAB,1,7.3,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,MTH 203,LEC,3,7.7,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,MTH 204,LAB,1,4.9,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,2,2024-2025,MTH 341,LEC,3,7.8,50,105,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2024-2025,CMU-IS 401,LEC,3,,59,118,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2024-2025,CS 466,LEC,2,,59,118,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2024-2025,LAW 201,LEC,2,,59,118,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2024-2025,POS 151,LEC,2,,59,118,,,,,,,,,,,,,,,,,,,,,,
28201102971,Hè,2024-2025,POS 361,LEC,2,,59,118,,,,,,,,,,,,,,,,,,,,,,
