"student_id","year","semester_number","course_code","course_name","study_format","credits_unit","raw_score","converted_score","converted_numeric_score","current_semester_gpa","cumulative_gpa","previous_courses_taken","previous_credits_earned"
"28211280315","2023-2024","2","CMU-ENG 130","Anh Văn Chuyên Ngành cho Sinh Viên CMU 1","LEC","2","8.90","A","4.00","7.72","3.36","17","34"
"28211280315","2023-2024","2","COM 141","Nói & Trình Bày (tiếng Việt)","LAB","1","9.60","A+","4.00","7.72","3.36","17","34"
"28211280315","2023-2024","2","IS-ENG 137","English for International School - Level 2","LEC","3","7.70","B+","3.33","7.72","3.36","17","34"
"28211280315","2023-2024","2","IS-ENG 186","English for International School - Level 3","LEC","3","7.00","B","3.00","7.72","3.36","17","34"
"28211280315","2023-2024","2","MTH 254","Toán Rời Rạc & Ứng Dụng","LEC","2","7.50","B+","3.33","7.72","3.36","17","34"
"28211280315","2023-2024","2","MTH 254","Toán Rời Rạc & Ứng Dụng","LAB","1","7.50","B+","3.33","7.72","3.36","17","34"
"28211280315","2023-2024","Hè","ES 100","Giáo Dục Quốc Phòng & An Ninh","LEC","3","8.10","P (P/F)","","","","27","54"
"28211280315","2023-2024","Hè","ES 100","Giáo Dục Quốc Phòng & An Ninh","DEM","5","8.10","P (P/F)","","","","27","54"
"28211280315","2024-2025","1","CMU-CS 303","Fundamentals of Computing 1","LEC","2","7.90","B+","3.33","7.86","3.36","29","62"
"28211280315","2024-2025","1","CMU-CS 303","Fundamentals of Computing 1","LAB","1","7.20","B","3.00","7.86","3.36","29","62"
"28211280315","2024-2025","1","CMU-IS 432","Software Project Management","LEC","3","8.40","A-","3.65","7.86","3.36","29","62"
"28211280315","2024-2025","1","CMU-SE 252","Computer Science for Practicing Engineers (Software Construction)","LEC","3","7.80","B+","3.33","7.86","3.36","29","62"
"28211280315","2024-2025","1","COM 142","Viết (tiếng Việt)","CON","1","7.60","B+","3.33","7.86","3.36","29","62"
"28211280315","2024-2025","1","IS 301","Cơ Sở Dữ Liệu","LEC","3","6.80","B-","2.65","7.86","3.36","29","62"
"28211280315","2024-2025","1","MTH 291","Toán Ứng Dụng cho Công Nghệ Thông Tin 1","LEC","3","8.70","A","4.00","7.86","3.36","29","62"
"28211280315","2024-2025","1","PHI 150","Triết Học Marx - Lenin","LEC","3","7.90","B+","3.33","7.86","3.36","29","62"
"28211280315","2024-2025","2","CMU-CS 447","Đồ Án CDIO","PRJ","1","7.50","B+","3.33","8.09","3.54","37","81"
"28211280315","2024-2025","2","CMU-CS 462","Software Measurements & Analysis","LEC","3","","","","8.09","3.54","37","81"
"28211280315","2024-2025","2","CMU-ENG 230","Anh Văn Chuyên Ngành cho Sinh Viên CMU 2","LEC","2","8.80","A","4.00","8.09","3.54","37","81"
"28211280315","2024-2025","2","CMU-SE 214","Requirements Engineering","LEC","3","8.50","A","4.00","8.09","3.54","37","81"
"28211280315","2024-2025","2","CS 464","Lập Trình Ứng Dụng .NET","LEC","2","9.70","A+","4.00","8.09","3.54","37","81"
"28211280315","2024-2025","2","CS 464","Lập Trình Ứng Dụng .NET","LAB","1","9.30","A","4.00","8.09","3.54","37","81"
"28211280315","2024-2025","2","ES 101","Chạy Ngắn & Bài Thể Dục Tay Không","DEM","1","8.40","P (P/F)","","8.09","3.54","37","81"
"28211280315","2024-2025","2","MTH 203","Toán Cao Cấp A3","LEC","3","8.50","A","4.00","8.09","3.54","37","81"
"28211280315","2024-2025","2","MTH 204","Toán Cao Cấp A3 (LAB)","LAB","1","6.40","C+","2.33","8.09","3.54","37","81"
"28211280315","2024-2025","2","MTH 341","Toán Ứng Dụng cho Công Nghệ Thông Tin 2","LEC","3","6.10","C+","2.33","8.09","3.54","37","81"
"28211280315","2024-2025","Hè","CMU-IS 401","Information System Applications","LEC","3","","","","","","47","98"
"28211280315","2024-2025","Hè","CMU-SE 303","Software Testing (Verification & Validation)","LEC","3","","","","","","47","98"
"28211280315","2024-2025","Hè","CS 466","Perl & Python","LEC","2","","","","","","47","98"
"28211280315","2024-2025","Hè","HIS 221","Lịch Sử Văn Minh Thế Giới 1","LEC","2","","","","","","47","98"
"28211280315","2024-2025","Hè","POS 361","Tư Tưởng Hồ Chí Minh","LEC","2","","","","","","47","98"
"28211280315","2025-2026","1","CMU-SE 403","Software Architecture & Design","LEC","3","","","","","","52","98"
"28211280315","2025-2026","1","CMU-SE 403","Software Architecture & Design","LAB","1","","","","","","52","98"
"28211280315","2025-2026","1","CMU-SE 433","Software Process & Quality Management","LEC","3","","","","","","52","98"
"28211280315","2025-2026","1","CMU-SE 450","Capstone Project for Software Engineering 1","PRJ","3","","","","","","52","98"
"28211280315","2025-2026","1","HIS 221","Lịch Sử Văn Minh Thế Giới 1","LEC","2","","","","","","52","98"
"28211280315","2025-2026","1","HIS 362","Lịch Sử Đảng Cộng Sản Việt Nam","LEC","2","","","","","","52","98"
"28211280315","2025-2026","1","IS 385","Kỹ Thuật Thương Mại Điện Tử","LEC","3","","","","","","52","98"
